,Unnamed: 0,Time,Text,Sentiment
0,0,2018-12-31 23:59:56+00:00,"our latest podcast out. our tech predictions the impromptu video microsoft apple, sony, more. will facebook get hit massive gdpr fine? and a deep dissection how facebook moderates platform. podcast technology","[54.54646309204943, 48.1953171238374, -10.193922167339807]"
1,1,2020-10-02 16:00:07+00:00,"could pseg exelon monopolize nj energy market? yes, in effort get more your money learn their latest act corporate greed in new jersey.","[5.682551429527796, 42.70181209402875, -10.062181146858563]"
2,2,2018-12-31 23:59:55+00:00,"yummy eats ready, drink made, apple crumble pie oven about take my family in a game monopoly wouldn’t want spend new years eve other way","[26.447325766041093, 65.17425465644675, -8.71056003027347]"
3,3,2018-12-31 23:59:48+00:00,continues sip apple juice. this shinigami mad.,"[33.57492098462025, 22.827861272253816, 1.2788500474011855]"
4,4,2018-12-31 23:59:47+00:00,apple looks india stem decline iphone sales – ee times,"[21.961217713288033, 18.585302832144002, -11.041025126750299]"
5,5,2018-12-31 23:59:46+00:00,apple looks india stem decline iphone sales – ee times,"[21.961217713288033, 18.585302832144002, -11.041025126750299]"
6,6,2018-12-31 23:59:45+00:00,apple looks india stem decline iphone sales – ee times,"[21.961217713288033, 18.585302832144002, -11.041025126750299]"
7,7,2018-12-31 23:59:39+00:00,itsjustal nigga i ain’t talked in damn near two years. ion care none that what’s yo apple pay,"[47.07981977800594, 11.10497369039777, -11.717187972272356]"
8,8,2018-12-31 23:59:39+00:00,realdonaldtrump enjoy apple watch exploiting incapacitated elderly parents,"[-2.831991230084671, -4.808877327809206, -12.513236526956575]"
9,9,2018-12-31 23:59:31+00:00,apple looks india stem decline iphone sales – ee times,"[21.961217713288033, 18.585302832144002, -11.041025126750299]"
10,10,2018-12-31 23:59:31+00:00,apple looks india stem decline iphone sales – ee times,"[21.961217713288033, 18.585302832144002, -11.041025126750299]"
11,11,2019-01-01 23:59:56+00:00,plsgib apple juice,"[-0.15728178565300088, 7.758092083129837, -11.424264632983846]"
12,12,2020-09-03 18:26:48+00:00,"lenovo legion x playapex now your chance rise the rest. unmatched performance, purposeful engineering, modern design. gear with machine savage you are. stylish outside. savage inside.","[75.12134485437876, 53.35074368036726, 1.9353115696088565]"
13,13,2019-01-01 23:59:52+00:00,apple patents depict three new products that could transform tech brand,"[18.306660810441567, 17.991952924596085, -10.004809727566936]"
14,14,2019-01-01 23:59:49+00:00,armorsuit apple watch screen protector review series via youtube,"[14.20795257921488, 4.663228627694224, -9.946872010944816]"
15,15,2019-01-01 23:59:44+00:00,"a reasonably priced monitor photography editing bigger issue holding from building photography editing rig windows . i’m really love macos, really don’t see a system i’m happy in apple’s current lineup.","[97.38704647360552, 52.153411463496596, -1.7174378509468369]"
16,16,2019-01-01 23:59:43+00:00,the first abomination panerabread taking away apple cinnamon muffins,"[7.687776735616954, 18.47953980231533, -10.57810774011481]"
17,17,2019-01-01 23:59:43+00:00,"from hush hush apple meeting mysterious executive departures, the important tech stories business insider reported","[27.799371529758798, 5.2987922909804155, -10.786344841277526]"
18,18,2019-01-01 23:59:43+00:00,"erin bartram americanatheist apples oranges, give what you a real question be asked, it a fact poor people have less resources create opportunity.","[43.34889113948187, 28.985097872511716, -9.705336479193619]"
19,19,2019-01-01 23:59:41+00:00,i spent minutes working with apple health. loseit,"[-5.760099925582639, -3.993103544810602, -10.669944902086392]"
20,20,2019-01-01 23:59:41+00:00,i spent minutes working with apple health. loseit,"[-5.760099925582639, -3.993103544810602, -10.669944902086392]"
21,21,2019-01-01 23:59:40+00:00,saying here first. apple juice underrated,"[7.6459692993392965, 17.963554656267057, -10.886812751776297]"
22,22,2019-01-02 23:59:59+00:00,he’d prescribe apples i dont keep away,"[6.970348583286904, 9.6681098888678, -10.906559934507435]"
23,23,2020-11-24 18:59:40+00:00,"""doordash provides much flexibility."" meet d shea. whyidash deliveringgood","[11.480416523336576, 8.283201097836745, -11.144480898395528]"
24,24,2019-01-02 23:59:58+00:00,anshelsag apple that plus also a saturated market less discernible reason the average user upgrade,"[38.45416307085462, 20.744468898000093, -10.782667125374857]"
25,25,2019-01-02 23:59:57+00:00,"so much genius investing.. apple drop costs warren buffett . billion, adding struggles berkshire portfolio","[53.982275372215646, 62.80723225152214, -10.645418171588489]"
26,26,2019-01-02 23:59:57+00:00,"dear apple i told rising iphone prices not solution, try innovate affordable prices record sales return tim cook cue pschiller usd an iphone europe? are serious? that’s everyone changing. wake up","[60.88947038385671, 49.90123015967352, 15.215475660041434]"
27,27,2019-01-02 23:59:56+00:00,drudge report anyone thought apple would the inexplicable panache china it enjoyed past tense hasn been paying attention.,"[15.88234391502441, 15.063438303435845, -11.111848644516996]"
28,28,2019-01-02 23:59:55+00:00,tomwarren agreed. apple also too many products within category odd pricing. the macbook pro escape about same price the new air. too many iphone models odd names... etc.,"[90.2458423005286, 43.95308667256704, -9.526246405208028]"
29,29,2019-01-02 23:59:52+00:00,amonickk swaveyvicc that’s the reason stay w apple music go,"[-2.945018626133769, -4.087448410412534, -11.355009543840069]"
30,30,2019-01-02 23:59:52+00:00,apple cider~,"[-0.8632873819928844, -2.3300199280406653, -11.413641026622763]"
31,31,2019-01-02 23:59:50+00:00,the iphone always going plateau eventually. what’s next? and apple the one deliver it?,"[17.32927894911882, 18.20258333582953, -10.220822517352033]"
32,32,2019-01-02 23:59:49+00:00,"on ""trends you"" right now, ""apple"" followed ""curb your enthusiasm."" indeed.","[-2.258302383545664, 16.69853584787085, 0.19864969078896166]"
33,33,2019-01-03 23:59:55+00:00,apple music trial ends tomorrow um we,"[20.821907319876903, 8.526773893414898, -10.764710661648664]"
34,34,2020-10-02 15:59:10+00:00,learn an overhaul nj competitive energy market would force state ratepayers pay higher electric bills.,"[75.90714873141168, 54.40067857506985, -10.12013890209613]"
